#,song_title,artist,page_title,views
4542,T'he mirat,"Núria Feliu, Lou Bennett","T'he mirat, de l'àlbum ""Núria Feliu amb Lou Bennett i els seus amics"" (Núria Feliu, Lou Bennett) - Viasona",15
4543,Romanç de Don Simó,Pep Gimeno 'Botifarra',"Romanç de Don Simó, de l'àlbum ""Te'n cantaré més de mil"" (Pep Gimeno 'Botifarra') - Viasona",15
4544,Cançó de la bicicleta,"Josep Maria Espinàs, Francesc Burrull","Cançó de la bicicleta, de l'àlbum ""Les 26 cançons infantils"" (Josep Maria Espinàs, Francesc Burrull) - Viasona",15
4545,República Alcassera,Sva-ters,"República Alcassera, de l'àlbum ""Berlangastyle"" (Sva-ters) - Viasona",15
4546,Cançó del tocadiscos,"Josep Maria Espinàs, Francesc Burrull","Cançó del tocadiscos, de l'àlbum ""Les 26 cançons infantils"" (Josep Maria Espinàs, Francesc Burrull) - Viasona",15
4547,Rellotge,Joan Miquel Oliver,"Rellotge, de l'àlbum ""Surfistes en càmera lenta"" (Joan Miquel Oliver) - Viasona",15
4548,Això és son pare,Cucorba,"Això és son pare, de l'àlbum ""Xica pica pollerica"" (Cucorba) - Viasona",15
4549,Cançó per una bona mort,Maria del Mar Bonet,"Cançó per una bona mort, de l'àlbum ""Maria del Mar Bonet"" (Maria del Mar Bonet) - Viasona",15
4550,Converses de cafè,Els Pets,"Converses de cafè, de l'àlbum ""Respira"" (Els Pets) - Viasona",15
4551,Desmond,Club Súper 3,"Desmond, de l'àlbum ""Uh! Oh! No tinc por"" (Club Súper 3) - Viasona",15
4552,Dibuixos en un món estrany,Club Súper 3,"Dibuixos en un món estrany, de l'àlbum ""Benvinguts al club"" (Club Súper 3) - Viasona",15
4553,Cervell vs Cor,Pau Vallvé,"Cervell vs Cor, de l'àlbum ""Agorafília"" (Pau Vallvé) - Viasona",15
4554,El Cafè Antic,Lluís Llach,"El Cafè Antic, de l'àlbum ""Porrera"" (Lluís Llach) - Viasona",15
4555,Almablava,Franca Masu,"Almablava, de l'àlbum ""Almablava"" (Franca Masu) - Viasona",15
4556,Quan el pare no té pa,Toni Giménez,"Quan el pare no té pa, de l'àlbum ""Cançons tradicionals infantils 2"" (Toni Giménez) - Viasona",15
4557,Deixa-ho còrrer. Ja està fet,Els miralls de Dylan,"Deixa-ho còrrer. Ja està fet, de l'àlbum ""Els miralls de Dylan"" (Els miralls de Dylan) - Viasona",15
4558,El procés,miquel,"El procés, de l'àlbum ""El procés"" (miquel) - Viasona",15
4559,El cor es trenca,"Antonio Orozco, Escola de Música Centre de les Arts de l'Hospitalet de Llobregat","El cor es trenca, de l'àlbum ""El disc de la Marató 2014"" (Antonio Orozco, Escola de Música Centre de les Arts de l'Hospitalet de Llobregat) - Viasona",15
4560,El Rei de França,Xavier Ribalta,"El Rei de França, de l'àlbum ""Cançons populars"" (Xavier Ribalta) - Viasona",15
4561,Goigs de l'amiga,Jaume Arnella,"Goigs de l'amiga, de l'àlbum ""Eròtica monàstica"" (Jaume Arnella) - Viasona",15
4562,Alenar,Maria Hein,"Alenar, de l'àlbum ""Alenar"" (Maria Hein) - Viasona",15
4563,Si et vols divertir,Xesco Boix,"Si et vols divertir, de l'àlbum ""El flautista d'Hamelin"" (Xesco Boix) - Viasona",15
4564,Sota l'arbre,La Iaia,"Sota l'arbre, de l'àlbum ""Les ratlles del banyador"" (La Iaia) - Viasona",15
4565,Venedor de mentides,Umpah-Pah,"Venedor de mentides, de l'àlbum ""Raons de pes"" (Umpah-Pah) - Viasona",15
4566,La ferida,La Fúmiga,"La ferida, de l'àlbum ""La ferida"" (La Fúmiga) - Viasona",15
4567,Les dones em miren,Very Pomelo,"Les dones em miren, de l'àlbum ""Figaro Figaro"" (Very Pomelo) - Viasona",15
4568,Lau Teilatu,La Puça,"Lau Teilatu, de l'àlbum ""L'any de la picor"" (La Puça) - Viasona",15
4569,El bressol,Maps,"El bressol, de l'àlbum ""Vida"" (Maps) - Viasona",15
4570,Sota el cel de París,Marina Rossell,"Sota el cel de París, de l'àlbum ""300 crits"" (Marina Rossell) - Viasona",15
4571,"Ai adéu, cara bonica",Falsterbo 3,"Ai adéu, cara bonica, de l'àlbum ""Primeres cançons"" (Falsterbo 3) - Viasona",15
4572,Lo nassaiolo,Franca Masu,"Lo nassaiolo, de l'àlbum ""Alguímia"" (Franca Masu) - Viasona",15
4573,Txoria txori,Dani Tejedor,"Txoria txori, de l'àlbum ""Cuerpo de ciudad"" (Dani Tejedor) - Viasona",15
4574,Amics de veritat,Club Súper 3,"Amics de veritat, de l'àlbum ""Arkandú"" (Club Súper 3) - Viasona",15
4575,Alenar,Maria del Mar Bonet,"Alenar, de l'àlbum ""El cor del temps"" (Maria del Mar Bonet) - Viasona",15
4576,Amor Amarg,Petit Taller de Cançons,"Amor Amarg, de l'àlbum ""Un cant als estels: el viatge pels amors perduts"" (Petit Taller de Cançons) - Viasona",15
4577,Cada dia,La Gossa Sorda,"Cada dia, de l'àlbum ""Vigila"" (La Gossa Sorda) - Viasona",15
4578,Terra,Lluís Llach,"Terra, de l'àlbum ""Astres"" (Lluís Llach) - Viasona",15
4579,"Hoteles, sol y playa",Maria Jaume,"Hoteles, sol y playa, de l'àlbum ""Nostàlgia Airlines"" (Maria Jaume) - Viasona",15
4580,Ara va de bo,Arrap,"Ara va de bo, de l'àlbum ""Ara va de bo"" (Arrap) - Viasona",15
4581,Aura de Sons,Cotó en pèl,"Aura de Sons, de l'àlbum ""Holocaust"" (Cotó en pèl) - Viasona",15
4582,Batecs de plàstic,Diana Murr,"Batecs de plàstic, de l'àlbum ""Batecs de plàstic"" (Diana Murr) - Viasona",15
4583,Angie,"Clara, CyBee, Maria Cambray","Angie, de l'àlbum ""El disc de La Marató 2016"" (Clara, CyBee, Maria Cambray) - Viasona",15
4584,Sorginak infernuko hauspotik irtetzen,La Viu-viu,"Sorginak infernuko hauspotik irtetzen, de l'àlbum ""Flexūs"" (La Viu-viu) - Viasona",15
4585,Bamboo,Antònia Font,"Bamboo, de l'àlbum ""Batiscafo Katiuscas"" (Antònia Font) - Viasona",15
4586,Sempre instint,gavina.mp3,"Sempre instint, de l'àlbum ""Sempre instint"" (gavina.mp3) - Viasona",15
4587,Bolero (Requena),Alimara,"Bolero (Requena), de l'àlbum ""Cançons del pla i de la muntanya"" (Alimara) - Viasona",15
4588,Bulería,gavina.mp3,"Bulería, de l'àlbum ""Molts ossos, molts estels"" (gavina.mp3) - Viasona",15
4589,Cançonetes,Biel Majoral,"Cançonetes, de l'àlbum ""Temps, temps, temps"" (Biel Majoral) - Viasona",15
4590,A 7 centímentres,Auxili,"A 7 centímentres, de l'àlbum ""Instants cremant"" (Auxili) - Viasona",15
4591,Volves de neu,Smoking Souls,"Volves de neu, de l'àlbum ""Volves de neu"" (Smoking Souls) - Viasona",15
4592,El canonge de la Seu,La Trinca,"El canonge de la Seu, de l'àlbum ""La Trinca. 20 anys de cançons"" (La Trinca) - Viasona",15
4593,Me'n vaig al camp,Els Catarres,"Me'n vaig al camp, de l'àlbum ""Cançons 2011"" (Els Catarres) - Viasona",15
4594,Marxo a peu,Funkystep & The Sey Sisters,"Marxo a peu, de l'àlbum ""A Matter of Funk"" (Funkystep & The Sey Sisters) - Viasona",15
4595,Garotes de Premià de Mar,El Pony Pisador,"Garotes de Premià de Mar, de l'àlbum ""JAJA SALU2"" (El Pony Pisador) - Viasona",15
4596,Gitana,Tomeu Penya,"Gitana, de l'àlbum ""Una aclucada d'ull"" (Tomeu Penya) - Viasona",15
4597,Un món de bojos,Obeses,"Un món de bojos, de l'àlbum ""Fills de les estrelles"" (Obeses) - Viasona",15
4598,Un nou matí,Manu Guix,"Un nou matí, de l'àlbum ""El disc de La Marató 2008"" (Manu Guix) - Viasona",15
4599,Mare de la ciència,Oques Grasses,"Mare de la ciència, de l'àlbum ""Un dia no sé com"" (Oques Grasses) - Viasona",15
4600,Una sola manera,Mishima,"Una sola manera, de l'àlbum ""Ara i res"" (Mishima) - Viasona",15
4601,Islàndia,Blaumut,"Islàndia, de l'àlbum ""El turista"" (Blaumut) - Viasona",15
4602,Jean-Luc,Els Amics de les Arts,"Jean-Luc, de l'àlbum ""Bed & Breakfast"" (Els Amics de les Arts) - Viasona",15
4603,Tinc una clau,Club Súper 3,"Tinc una clau, de l'àlbum ""Benvinguts al club"" (Club Súper 3) - Viasona",15
4604,Una birra més,Groggy Rude,"Una birra més, de l'àlbum ""Una birra més"" (Groggy Rude) - Viasona",15
4605,Muntanyes regalades,Sergi Dantí,"Muntanyes regalades, de l'àlbum ""Cançons essencials catalanes - En directe"" (Sergi Dantí) - Viasona",15
4606,Les flors de la primavera,"Sonall, música per nadons","Les flors de la primavera, de l'àlbum ""Sonall, música per nadons"" (Sonall, música per nadons) - Viasona",15
4607,TICTAC,Maria Arnal i Marcel Bagés,"TICTAC, de l'àlbum ""AMA"" (Maria Arnal i Marcel Bagés) - Viasona",15
4608,L'Empordà,Sopa de Cabra,"L'Empordà, de l'àlbum ""El retorn"" (Sopa de Cabra) - Viasona",15
4609,Sóc,La Gossa Sorda,"Sóc, de l'àlbum ""La gossa està que bossa"" (La Gossa Sorda) - Viasona",15
4610,Sigues lliure,Sixtus,"Sigues lliure, de l'àlbum ""Ja s'hi val"" (Sixtus) - Viasona",15
4611,La vida és una festa,Dani Miquel,"La vida és una festa, de l'àlbum ""Musiqueries. De Vinarós a Oriola el país vola!"" (Dani Miquel) - Viasona",15
4612,L'Àngel i en Pasqual,La Trinca,"L'Àngel i en Pasqual, de l'àlbum ""Bones festes"" (La Trinca) - Viasona",15
4613,L'àngel i els pastors,Els Vailets,"L'àngel i els pastors, de l'àlbum ""Nadales: El desembre congelat"" (Els Vailets) - Viasona",15
4614,SVETLANA,Svetlana,"SVETLANA, de l'àlbum ""MARRANA"" (Svetlana) - Viasona",15
4615,Rumba del temps,Joan Miquel Oliver,"Rumba del temps, de l'àlbum ""Atlantis"" (Joan Miquel Oliver) - Viasona",15
4616,Vestida de nit,Maria Dolors Cruells,"Vestida de nit, de l'àlbum ""Cançons d'amor i de mar"" (Maria Dolors Cruells) - Viasona",15
4617,Puc ser,Ramonets,"Puc ser, de l'àlbum ""Fes-ho tu mateix"" (Ramonets) - Viasona",15
4618,Flors de baladre,Ressonadors,"Flors de baladre, de l'àlbum ""Ressonadors"" (Ressonadors) - Viasona",15
4619,Lentament comença el cant,Lluís Llach,"Lentament comença el cant, de l'àlbum ""Un pont de mar blava"" (Lluís Llach) - Viasona",15
4620,Fins al final,Buhos,"Fins al final, de l'àlbum ""Sempre dempeus"" (Buhos) - Viasona",15
4621,Davallada de la Mola,Inventari,"Davallada de la Mola, de l'àlbum ""Es meu carrer"" (Inventari) - Viasona",15
4622,Esperit,Enyor,"Esperit, de l'àlbum ""Enyor EP"" (Enyor) - Viasona",15
4623,El cuc poruc,El Pot Petit,"El cuc poruc, de l'àlbum ""Canta amb El Pot Petit"" (El Pot Petit) - Viasona",15
4624,El desertor,Joan Isaac,"El desertor, de l'àlbum ""Barcelona Ciutat Gris"" (Joan Isaac) - Viasona",15
4625,Passejant per Barcelona,Quico Pi de la Serra,"Passejant per Barcelona, de l'àlbum ""QuicoLabora"" (Quico Pi de la Serra) - Viasona",15
4626,El dimoni dins jo,Tomeu Penya,"El dimoni dins jo, de l'àlbum ""50 cançons"" (Tomeu Penya) - Viasona",15
4627,Bloquejats,Sopa de Cabra,"Bloquejats, de l'àlbum ""..."" (Sopa de Cabra) - Viasona",15
4628,Barcelona s'il·lumina,Buhos,"Barcelona s'il·lumina, de l'àlbum ""Barcelona s'il·lumina"" (Buhos) - Viasona",15
4629,Balla,Marina Rossell,"Balla, de l'àlbum ""Canta Moustaki"" (Marina Rossell) - Viasona",15
4630,Arrels,Xiula,"Arrels, de l'àlbum ""Dintríssim"" (Xiula) - Viasona",15
4631,I seràs eternitat,Partaka,"I seràs eternitat, de l'àlbum ""Per sempre més"" (Partaka) - Viasona",15
4632,Part 1. Ruptura,La Maria,"Part 1. Ruptura, de l'àlbum ""Robina"" (La Maria) - Viasona",15
4633,Aquest moment,Blaumut,"Aquest moment, de l'àlbum ""0001"" (Blaumut) - Viasona",15
4634,El meu regal,L'Eriçó Punxegut,"El meu regal, de l'àlbum ""El meu regal"" (L'Eriçó Punxegut) - Viasona",15
4635,Tot està per fer,Acció,"Tot està per fer, de l'àlbum ""1001 colors"" (Acció) - Viasona",15
4636,Totes les flors,Roger Mas,"Totes les flors, de l'àlbum ""Totes les flors"" (Roger Mas) - Viasona",15
4637,L'ofici,La Trinca,"L'ofici, de l'àlbum ""Festa major"" (La Trinca) - Viasona",15
4638,En Pep Gonella,Quart creixent,"En Pep Gonella, de l'àlbum ""Dos colors"" (Quart creixent) - Viasona",15
4639,L'ombra sols fuig en la nit,Obeses,"L'ombra sols fuig en la nit, de l'àlbum ""Zel"" (Obeses) - Viasona",15
4640,La becaina,La Taverna,"La becaina, de l'àlbum ""Es petit barquet"" (La Taverna) - Viasona",15
4641,La delegada,Macedònia,"La delegada, de l'àlbum ""Posa'm un suc"" (Macedònia) - Viasona",15
4642,Ens estaven esperant,Al·lèrgiques al pol·len,"Ens estaven esperant, de l'àlbum ""Cants, crits, baralles"" (Al·lèrgiques al pol·len) - Viasona",15
4643,Escenes quotidianes Vol. IV,Zoo,"Escenes quotidianes Vol. IV, de l'àlbum ""Escenes quotidianes"" (Zoo) - Viasona",15
4644,"Mòbil, claus i cartera",Sexenni,"Mòbil, claus i cartera, de l'àlbum ""Mòbil, claus i cartera"" (Sexenni) - Viasona",15
4645,A cada passa,At Versaris,"A cada passa, de l'àlbum ""A cada passa"" (At Versaris) - Viasona",15
4646,ìí,Mar Pujol,"ìí, de l'àlbum ""Cançons de rebost"" (Mar Pujol) - Viasona",15
4647,Abismes,Auxili,"Abismes, de l'àlbum ""Dolç atac"" (Auxili) - Viasona",15
4648,Vull viure d'aventures,Terratombats,"Vull viure d'aventures, de l'àlbum ""Bestial"" (Terratombats) - Viasona",15
4649,Si sabessis,Txarango,"Si sabessis, de l'àlbum ""El gran ball"" (Txarango) - Viasona",15
4650,ATREVIDA,Naina,"ATREVIDA, de l'àlbum ""Vives o mortes"" (Naina) - Viasona",15
4651,L'hereu Riera,Ovidi Montllor,"L'hereu Riera, de l'àlbum ""Ovidi Montllor diu Sagarra"" (Ovidi Montllor) - Viasona",15
4652,Serem més forts,Miki Núñez,"Serem més forts, de l'àlbum ""Serem més forts"" (Miki Núñez) - Viasona",15
4653,Muntanyes regalades,Sons de mar,"Muntanyes regalades, de l'àlbum ""Idil·li"" (Sons de mar) - Viasona",15
4654,Món Vetllatori (Romanç 4: de mort),La Maria,"Món Vetllatori (Romanç 4: de mort), de l'àlbum ""Mon Vetlatori (Romanç 4: de mort)"" (La Maria) - Viasona",15
4655,Cançó de bressol,Orfeó Gracienc,"Cançó de bressol, de l'àlbum ""Concert de Nadal"" (Orfeó Gracienc) - Viasona",15
4656,A cel obert,Beth,"A cel obert, de l'àlbum ""Família"" (Beth) - Viasona",15
4657,La fada de Roses,"Jaume Arnella, Ferran Martínez","La fada de Roses, de l'àlbum ""Mossèn Cinto Verdaguer. Cançons i balades"" (Jaume Arnella, Ferran Martínez) - Viasona",15
4658,La flor,Xarim Aresté,"La flor, de l'àlbum ""Polinèsies"" (Xarim Aresté) - Viasona",15
4659,No ve d'un pam,La Trinca,"No ve d'un pam, de l'àlbum ""La Trinca. 20 anys de cançons"" (La Trinca) - Viasona",15
4660,La llegenda de Sant Jordi,"Guillermina Motta, Marina Rossell, Miquel Cors, Coral Sant Jordi, Lluís Saumell","La llegenda de Sant Jordi, de l'àlbum ""Llegendes de Catalunya"" (Guillermina Motta, Marina Rossell, Miquel Cors, Coral Sant Jordi, Lluís Saumell) - Viasona",15
4661,Vull ser lliure,Bon Vent!,"Vull ser lliure, de l'àlbum ""Les cançons d'en Xesco Boix"" (Bon Vent!) - Viasona",15
4662,La papallona,Carles Cuberes,"La papallona, de l'àlbum ""Papallones"" (Carles Cuberes) - Viasona",15
4663,Barna 93?,Pixamandúrries,"Barna 93?, de l'àlbum ""Quina Vida"" (Pixamandúrries) - Viasona",15
4664,Veus de lluna i celobert,Ramon Muntaner,"Veus de lluna i celobert, de l'àlbum ""Veus de lluna i celobert"" (Ramon Muntaner) - Viasona",15
4665,Very verinosa,Maria Jaume,"Very verinosa, de l'àlbum ""Nostàlgia Airlines SOUVENIR"" (Maria Jaume) - Viasona",15
4666,Un ou fa la gallina,La Pataqueta,"Un ou fa la gallina, de l'àlbum ""La Pataqueta"" (La Pataqueta) - Viasona",15
4667,Un dimecres qualsevol,Els Pets,"Un dimecres qualsevol, de l'àlbum ""Fruits Sex"" (Els Pets) - Viasona",15
4668,Lila clar,Gemma Humet,"Lila clar, de l'àlbum ""Màtria"" (Gemma Humet) - Viasona",15
4669,Atomosfera,Senyor Oca,"Atomosfera, de l'àlbum ""Atomosfera"" (Senyor Oca) - Viasona",15
4670,QUE NO S'ACABI,Figa Flawas,"QUE NO S'ACABI, de l'àlbum ""La Calçotada"" (Figa Flawas) - Viasona",15
4671,Amor d'amo,Fèlix Estop,"Amor d'amo, de l'àlbum ""Fèlix Estop"" (Fèlix Estop) - Viasona",15
4672,La sardana de la Pàtria (sardana),"La Principal de la Bisbal, Polifònica de Puig-Reig","La sardana de la Pàtria (sardana), de l'àlbum ""Sardanes d'or 3"" (La Principal de la Bisbal, Polifònica de Puig-Reig) - Viasona",15
4673,A la pluja què li heu fet?,"Maria Consol Casajoana, Ramon Casajoana","A la pluja què li heu fet?, de l'àlbum ""Clams per la pau"" (Maria Consol Casajoana, Ramon Casajoana) - Viasona",15
4674,Som foc,Txarango,"Som foc, de l'àlbum ""El gran ball"" (Txarango) - Viasona",15
4675,Cançó del cavall,"Josep Maria Espinàs, Francesc Burrull","Cançó del cavall, de l'àlbum ""Les 26 cançons infantils"" (Josep Maria Espinàs, Francesc Burrull) - Viasona",15
4676,Malafici,Adala,"Malafici, de l'àlbum ""Blank Fosk"" (Adala) - Viasona",15
4677,Agur Jaunak,Xesco Boix,"Agur Jaunak, de l'àlbum ""La volta al món en 12 cançons"" (Xesco Boix) - Viasona",15
4678,La barqueta,Port Bo,"La barqueta, de l'àlbum ""Bo i cantant"" (Port Bo) - Viasona",15
4679,Carnets de punk,Crim,"Carnets de punk, de l'àlbum ""Futur medieval"" (Crim) - Viasona",15
4680,L'Hortolana del Vernet,Jordi Barre,"L'Hortolana del Vernet, de l'àlbum ""Tradicionals"" (Jordi Barre) - Viasona",15
4681,L'hereu riera,,"L'hereu riera, de l'àlbum ""L'hereu Riera"" (Emili Vendrell (fill)) - Viasona",15
4682,L'ona,Auxili,"L'ona, de l'àlbum ""Instants cremant"" (Auxili) - Viasona",15
4683,Blues en sol,Guillem d'Efak,"Blues en sol, de l'àlbum ""Blues"" (Guillem d'Efak) - Viasona",15
4684,El rei negre,Tomeu Penya,"El rei negre, de l'àlbum ""50 cançons"" (Tomeu Penya) - Viasona",15
4685,El món,Franca Masu,"El món, de l'àlbum ""El meu viatge"" (Franca Masu) - Viasona",15
4686,Benvingudes,La Rauxa,"Benvingudes, de l'àlbum ""De bon començament"" (La Rauxa) - Viasona",15
4687,Avui l'únic que vull,Pau Vallvé,"Avui l'únic que vull, de l'àlbum ""Abisme Cavall hivern primavera i tornar"" (Pau Vallvé) - Viasona",15
4688,Cucs,Xiula,"Cucs, de l'àlbum ""Xiulalaland"" (Xiula) - Viasona",15
4689,La balanguera,Ramon Calduch,"La balanguera, de l'àlbum ""La gran Diada"" (Ramon Calduch) - Viasona",15
4690,Els transports,Dàmaris Gelabert,"Els transports, de l'àlbum ""Cançons per Aprendre: 7-9 Anys Vol I"" (Dàmaris Gelabert) - Viasona",15
4691,Jo vinc d'un silenci,Raimon,"Jo vinc d'un silenci, de l'àlbum ""Raimon 50"" (Raimon) - Viasona",15
4692,Avant,Zoo,"Avant, de l'àlbum ""Llepolies"" (Zoo) - Viasona",15
4693,Desastres blues,Rah-mon Roma,"Desastres blues, de l'àlbum ""Un farcell farcit"" (Rah-mon Roma) - Viasona",15
4694,Com un arbre nu,Lluís Llach,"Com un arbre nu, de l'àlbum ""A L'Olympia"" (Lluís Llach) - Viasona",15
4695,La pizza ecumènica,Huapachà Combo,"La pizza ecumènica, de l'àlbum ""Ball xalat"" (Huapachà Combo) - Viasona",15
4696,Et cantaré,Joan Garriga i el Mariatxi galàctic,"Et cantaré, de l'àlbum ""Et cantaré el rock & roll és mort perquè marxen lluny"" (Joan Garriga i el Mariatxi galàctic) - Viasona",15
4697,Animal d'esperances i memòria,Raimon,"Animal d'esperances i memòria, de l'àlbum ""Raimon a l'Olympia"" (Raimon) - Viasona",15
4698,Colors d'amor,J.M. Baule,"Colors d'amor, de l'àlbum ""Je ne sais pas"" (J.M. Baule) - Viasona",15
4699,La riuada. Inundació d'Alzira,"Al Tall, Muluk El Hwa","La riuada. Inundació d'Alzira, de l'àlbum ""Xarq al-Andalus"" (Al Tall, Muluk El Hwa) - Viasona",15
4700,Her,La Fúmiga,"Her, de l'àlbum ""Her"" (La Fúmiga) - Viasona",15
4701,Cobi,Club Súper 3,"Cobi, de l'àlbum ""Clubifaximàtic"" (Club Súper 3) - Viasona",15
4702,Carnaval al bosc,L'Eriçó Punxegut,"Carnaval al bosc, de l'àlbum ""Carnaval al bosc"" (L'Eriçó Punxegut) - Viasona",15
4703,Bon vent i barca nova,Lildami,"Bon vent i barca nova, de l'àlbum ""Bentornat"" (Lildami) - Viasona",15
4704,Amb el temps,Xavier Ribalta,"Amb el temps, de l'àlbum ""Canta Léo Ferré"" (Xavier Ribalta) - Viasona",15
4705,Santa Karme,Remei de Ca la Fresca,"Santa Karme, de l'àlbum ""Remei de Ca la Fresca"" (Remei de Ca la Fresca) - Viasona",15
4706,Però Bernat,Música Nostra,"Però Bernat, de l'àlbum ""En directe"" (Música Nostra) - Viasona",15
4707,Mots,Esquirols,"Mots, de l'àlbum ""Licor d'herbes bones"" (Esquirols) - Viasona",15
4708,Jota,Torrat i Bullit,"Jota, de l'àlbum ""Engabiats"" (Torrat i Bullit) - Viasona",15
4709,Pyrene,Au d'Astí!,"Pyrene, de l'àlbum ""Prou"" (Au d'Astí!) - Viasona",15
4710,Un matí més,Aina Reig,"Un matí més, de l'àlbum ""Un matí més"" (Aina Reig) - Viasona",15
4711,Què vos passa valencians,Paco Muñoz,"Què vos passa valencians, de l'àlbum ""La llibertat la picaren"" (Paco Muñoz) - Viasona",15
4712,Peix brillant,Mazoni,"Peix brillant, de l'àlbum ""Banderes per daltònics"" (Mazoni) - Viasona",15
4713,Som un equip,Club Súper 3,"Som un equip, de l'àlbum ""Arkandú"" (Club Súper 3) - Viasona",15
4714,Sincero,31 FAM,"Sincero, de l'àlbum ""Sincero"" (31 FAM) - Viasona",15
4715,Nineta (Margarita y el mar),Port Bo,"Nineta (Margarita y el mar), de l'àlbum ""Quadern de viatge"" (Port Bo) - Viasona",15
